City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Arraial+Do+Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
204,Bambous+Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
205,Barberton,ZA,71.65,clear sky,-25.7884,31.0532,Barberton B&B
207,Jaguaquara,BR,81.32,clear sky,-13.5306,-39.9708,Hotel Irmãos Vaz
209,Osmaniye,TR,72.52,broken clouds,37.0742,36.2478,Osmaniye Ogretmenevi ve Aksam Sanat Okulu
210,Katsuura,JP,70.2,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
213,Nouadhibou,MR,73.38,broken clouds,20.930999999999997,-17.0347,El Medina
218,Maragogi,BR,80.94,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
219,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
220,Hithadhoo,MV,82.94,overcast clouds,-0.6,73.0833,Scoop Guest House
224,Labuhan,ID,79.21,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
226,Salta,AR,84.79,clear sky,-24.7859,-65.4117,Hotel Alejandro I
231,Ishurdi,BD,82.81,broken clouds,24.1333,89.0833,Rafiur Rahman
233,Saint-Georges,GD,82.44,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
234,San+Lawrenz,MT,72.86,scattered clouds,36.0553,14.204,San Andrea Hotel
235,Manavalakurichi,IN,80.69,overcast clouds,8.1333,77.3,Udaya Boys Hostel
237,Ajdabiya,LY,86.32,clear sky,30.7554,20.2263,Almadina Hotel
240,Kalianget,ID,82.2,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
241,Barcelos,PT,80.28,few clouds,41.5388,-8.6151,Hotel Do Terço
242,Presidencia+Roque+Saenz+Pena,AR,83.91,broken clouds,-26.7852,-60.4388,Hotel Gualok
243,Isangel,VU,70.09,broken clouds,-19.55,169.2667,Tanna Lodge
245,Sawakin,SD,88.05,few clouds,19.1059,37.3321,فندق الدويم
247,El+Carmen,CO,78.76,overcast clouds,8.5106,-73.4478,La Casona
249,Searcy,US,76.14,broken clouds,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
250,Yambio,SS,76.12,broken clouds,4.5721,28.3955,Naivasha Hotel
256,Nago,JP,77.85,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
257,Muros,ES,79.68,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
258,Grand+Gaube,MU,73.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
259,Uravakonda,IN,84.88,clear sky,14.95,77.2667,Divya Lodge
260,Vila+Velha,BR,85.96,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
262,Yarada,IN,88.12,scattered clouds,17.65,83.2667,Jeevan
263,Faanui,PF,79.95,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
266,San+Juan,AR,71.73,scattered clouds,-31.5375,-68.5364,Hotel Provincial
267,Tena,EC,84.96,scattered clouds,-0.9833,-77.8167,Hostal Tena Ñaui
268,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
271,Angoche,MZ,72.79,few clouds,-16.2325,39.9086,Guest House HESADA
275,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
277,Auki,SB,75.94,overcast clouds,-8.7676,160.7034,Auki Motel
278,Teocaltiche,MX,74.71,clear sky,21.4333,-102.5833,Hotel los Caxcanes
279,Aras,ES,79.21,few clouds,42.5617,-2.356,Jardines de Viana Spa
280,Tateyama,JP,70.99,heavy intensity rain,34.9833,139.8667,Tateyama Seaside Hotel
287,Jinxiang,CN,72.88,light rain,27.4327,120.6062,Wolong Village
296,Tutoia,BR,89.58,few clouds,-2.7619,-42.2744,Pousada Guará's
